,city,state,lat,lon,boundingboxes
184,Lakeland Shores,Minnesota,44.9489049,-92.7672749,"['44.9424261', '44.9558292', '-92.7710456', '-92.7531833']"
185,Waterloo,Illinois,38.3358857,-90.1498341,"['38.2999230', '38.3831960', '-90.1798070', '-90.1153510']"
186,Pequot Lakes,Minnesota,46.6030198,-94.3094399,"['46.5441150', '46.6315886', '-94.3309868', '-94.2661871']"
187,Lowell,Ohio,39.5297958,-81.5062349,"['39.5220800', '39.5348490', '-81.5129300', '-81.5003570']"
188,Cummington,Massachusetts,42.4628175,-72.8964631,"['42.4330106', '42.4978559', '-72.9926435', '-72.8478999']"
189,Phoenix,Illinois,41.6147151,-87.6323811,"['41.6039905', '41.6189802', '-87.6364996', '-87.6241280']"
190,Warrenville,South Carolina,33.5509706,-81.8039998,"['33.5309706', '33.5709706', '-81.8239998', '-81.7839998']"
191,Pacific Beach,Washington,47.2090696,-124.200381,"['47.1890696', '47.2290696', '-124.2203810', '-124.1803810']"
192,Mount Vernon,New York,40.9125085,-73.8386504,"['40.8894770', '40.9352890', '-73.8532780', '-73.8050620']"
193,Matteson,Illinois,41.509832,-87.739267,"['41.4914310', '41.5292701', '-87.7907270', '-87.6907380']"
194,Orange,Ohio,41.449776,-81.480674,"['41.4242690', '41.4623853', '-81.4943590', '-81.4524930']"
195,Brooklyn,Michigan,42.105874,-84.2482819,"['42.0966300', '42.1136810', '-84.2598240', '-84.2394620']"
196,Hawaiian Paradise Park,Hawaii,19.585022,-154.973145,"['19.5650220', '19.6050220', '-154.9931450', '-154.9531450']"
197,North Manchester,Indiana,41.0006005,-85.768597,"['40.9862230', '41.0262270', '-85.7952280', '-85.7531330']"
198,Winters,California,38.5249065,-121.970801,"['38.5142402', '38.5521650', '-122.0006000', '-121.9542190']"
199,Manchester,Kentucky,37.1537007,-83.7618641,"['37.1278030', '37.1673830', '-83.7824430', '-83.7543040']"
200,Park Forest Village,Pennsylvania,40.8043195,-77.911844,"['40.7850800', '40.8119935', '-77.9262930', '-77.8841947']"
201,Woodridge,Illinois,41.7563344,-88.045559,"['41.6783205', '41.7795322', '-88.0867370', '-88.0012500']"
202,Northlake,Illinois,41.9172526,-87.8956185,"['41.8996960', '41.9370450', '-87.9205620', '-87.8816434']"
